        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     1.5                     -0.28666438
                   1.502                     -0.29521046
               1.5039999                     -0.30342506
                   1.506                     -0.31126385
                   1.508                     -0.31868185
                    1.51                      -0.3256416
                   1.512                     -0.33210601
               1.5140001                     -0.33804184
                   1.516                     -0.34342338
                   1.518                     -0.34822445
                    1.52                     -0.35242622
                   1.522                     -0.35601461
                   1.524                     -0.35897784
                   1.526                     -0.36131023
                   1.528                     -0.36301028
                    1.53                     -0.36408088
               1.5319999                     -0.36452991
                   1.534                     -0.36436842
                   1.536                     -0.36361236
                   1.538                     -0.36228192
                    1.54                      -0.3604007
               1.5420001                      -0.3579946
                   1.544                     -0.35509477
                   1.546                     -0.35173415
                   1.548                     -0.34794788
                    1.55                     -0.34377545
                   1.552                     -0.33925642
                   1.554                     -0.33443184
                   1.556                     -0.32934611
                   1.558                     -0.32404394
               1.5599999                     -0.31856846
                   1.562                     -0.31296599
                   1.564                     -0.30728238
                   1.566                     -0.30156194
                   1.568                     -0.29584923
               1.5700001                     -0.29018883
                   1.572                     -0.28462232
                   1.574                     -0.27919173
                   1.576                     -0.27393614
               1.5779999                     -0.26889309
                    1.58                     -0.26409907
                   1.582                     -0.25958727
                   1.584                     -0.25538936
                   1.586                     -0.25153279
               1.5880001                     -0.24804523
                    1.59                     -0.24494788
                   1.592                     -0.24226293
                   1.594                     -0.24000741
                   1.596                     -0.23819555
                   1.598                     -0.23683991
                     1.6                     -0.23594787
                   1.602                     -0.23552493
                   1.604                     -0.23557435
               1.6059999                     -0.23609554
                   1.608                      -0.2370845
                    1.61                      -0.2385364
                   1.612                     -0.24044036
                   1.614                     -0.24278529
               1.6160001                     -0.24555721
                   1.618                     -0.24873877
                    1.62                     -0.25231115
                   1.622                     -0.25625327
                   1.624                      -0.2605394
                   1.626                     -0.26514635
                   1.628                     -0.27004588
                    1.63                     -0.27520903
                   1.632                     -0.28060524
               1.6339999                     -0.28620483
                   1.636                     -0.29197325
                   1.638                     -0.29787788
                    1.64                     -0.30388559
                   1.642                     -0.30996195
               1.6440001                     -0.31607247
                   1.646                     -0.32218312
                   1.648                     -0.32825981
                    1.65                     -0.33426991
                   1.652                     -0.34017928
                   1.654                     -0.34595767
                   1.656                     -0.35157389
                   1.658                     -0.35699944
                    1.66                     -0.36220662
               1.6619999                     -0.36716924
                   1.664                     -0.37186373
                   1.666                      -0.3762684
                   1.668                     -0.38036358
                    1.67                     -0.38413084
               1.6720001                     -0.38755627
                   1.674                     -0.39062716
                   1.676                     -0.39333489
                   1.678                      -0.3956695
               1.6799999                     -0.39762868
                   1.682                     -0.39920888
                   1.684                     -0.40041224
                   1.686                     -0.40124142
                   1.688                     -0.40170166
               1.6900001                     -0.40180235
                   1.692                     -0.40155372
                   1.694                     -0.40096809
                   1.696                     -0.40006152
                   1.698                     -0.39885143
                     1.7                      -0.3973557
                   1.702                     -0.39559654
                   1.704                      -0.3935954
                   1.706                     -0.39137662
               1.7079999                     -0.38896476
                    1.71                     -0.38638545
                   1.712                     -0.38366625
                   1.714                     -0.38083423
                   1.716                     -0.37791791
               1.7180001                     -0.37494414
                    1.72                     -0.37194178
                   1.722                      -0.3689398
                   1.724                     -0.36596375
                   1.726                     -0.36304184
                   1.728                     -0.36020086
                    1.73                     -0.35746654
                   1.732                     -0.35486281
                   1.734                      -0.3524136
               1.7359999                     -0.35014206
                   1.738                     -0.34806788
                    1.74                     -0.34621084
                   1.742                     -0.34458939
                   1.744                     -0.34321893
               1.7460001                     -0.34211404
                   1.748                     -0.34128763
                    1.75                     -0.34075012
                   1.752                     -0.34050985
               1.7539999                     -0.34057442
                   1.756                     -0.34094808
                   1.758                     -0.34163431
                    1.76                      -0.3426333
                   1.762                     -0.34394419
               1.7640001                     -0.34556427
                   1.766                     -0.34748798
                   1.768                     -0.34971003
                    1.77                     -0.35221941
                   1.772                     -0.35500793
                   1.774                     -0.35806196
                   1.776                     -0.36137025
                   1.778                     -0.36491498
                    1.78                     -0.36868172
               1.7819999                     -0.37265176
                   1.784                     -0.37680638
                   1.786                     -0.38112731
                   1.788                      -0.3855909
                    1.79                     -0.39017875
               1.7920001                     -0.39486587
                   1.794                     -0.39963193
                   1.796                      -0.4044521
                   1.798                     -0.40930555
                     1.8                     -0.41416682
                   1.802                      -0.4190139
                   1.804                     -0.42382384
                   1.806                     -0.42857485
                   1.808                      -0.4332436
               1.8099999                     -0.43781107
                   1.812                     -0.44225502
                   1.814                     -0.44655742
