" 3D Run ID","th","endl","pl","pw","Tables\0D Results\SZmax(1),Zmax(1)_0D_yAtX"
"1","0.5","2","10","1",""
"2","0.5","2","1","1","-89.0754"
"3","0.5","2","1.5","1","-90.371"
"4","0.5","2","2","1","-92.0933"
"5","0.5","2","2.5","1","-95.0819"
"6","0.5","2","3","1","-98.2589"
"7","0.5","2","3.5","1","-101.607"
"8","0.5","2","4","1","-106.092"
"9","0.5","2","4.5","1","-111.035"
"10","0.5","2","5","1","-117.349"
"11","0.5","2","5.5","1","-124.706"
"12","0.5","2","6","1","-133.505"
"13","0.5","2","6.5","1","-143.698"
"14","0.5","2","7","1","-151.12"
"15","0.5","2","7.5","1","-163.664"
"16","0.5","2","8","1","177.898"
"17","0.5","2","8.5","1","162.095"
"18","0.5","2","9","1","147.595"
"19","0.5","2","9.5","1","135.434"
"20","0.5","2","10","1.5","141.935"
"21","0.5","2","10","2","153.313"
"22","0.5","2","10","2.5","159.391"
"23","0.5","2","10","3","162.491"
"24","0.5","2","10","3.5","165.094"
"25","0.5","2","10","4","166.041"
"26","0.5","2","10","4.5","166.723"
"27","0.5","2","10","5","167.036"
"28","0.5","2","10","5.5","166.356"
"29","0.5","2","10","6","166.94"
"30","0.5","2","10","6.5","166.125"
"31","0.5","2","10","7","165.463"
"32","0.5","2","10","7.5","164.903"
"33","0.5","2","10","8","163.573"
"34","0.5","2","10","8.5","162.649"
"35","0.5","2","10","9","161.803"
"36","0.5","2","10","9.5","161.112"
"37","0.5","2","10","10","160.45"
"38","0","2","10","1","156.553"
"39","0.5","1","10","1","143.328"
"40","0.5","1.5","10","1","135.546"
"41","0.5","1.5","1","1","-88.4172"
"42","0.5","1.5","1.5","1","-89.8332"
"43","0.5","1.5","2","1","-91.1619"
"44","0.5","1.5","2.5","1","-93.1564"
"45","0.5","1.5","3","1","-95.8237"
"46","0.5","1.5","3.5","1","-98.8976"
"47","0.5","1.5","4","1","-102.412"
"48","0.5","1.5","4.5","1","-107.186"
"49","0.5","1.5","5","1","-112.098"
"50","0.5","1.5","5.5","1","-117.31"
"51","0.5","1.5","6","1","-126.156"
"52","0.5","1.5","6.5","1","-135.697"
"53","0.5","1.5","7","1","-146.261"
"54","0.5","1.5","7.5","1","-152.239"
"55","0.5","1.5","8","1","-164.944"
"56","0.5","1.5","8.5","1","176.223"
"57","0.5","1.5","9","1","159.683"
"58","0.5","1.5","9.5","1","145.757"
"59","0.5","1.5","10","0.5","99.8681"
"60","0","1.5","10","1","166.839"
"61","0.5","0","10","1","168.431"
"62","0.5","0.5","10","1","155.29"
"0","","","","","155.29"
